"","Plot","Plot.2","Plot.3","Tag","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","size","perc.canopy.open","log_light","new.rgr.h","Comp1","Comp2","Comp3","log_thick","log_ssl","log_lar","log_lmf","log_smf","log_rmf","log_lma","log_rgr","lma","plot_id","log_ini_size"
"646",1502,83,16,13,233.2916667,0.134333333,60,68.61519608,0.294117647,0.279411765,0.426470588,"DICHGE",0.196710294,28,2.68,0.370324440614863,1.196710294,0.483046413,1.478247999,-1.942530712,0.881285858133094,0.113035484026854,0.107324795219259,0.416373005911746,-0.359163312530951,0.570467215598543,1.05590057707736,0.264094279847604,0.00428648,16,0.741297783184435
"716",1603,91,17,4,230.6238095,0.140666667,21.68224299,60.20947941,0.261072261,0.249417249,0.48951049,"DICHGE",0.485507816,26,4,1.26313246867043,1.485507816,0.65049599,0.927609495,-1.932567341,1.31958424117525,-1.49349728395998,-0.103272576910819,0.213367674259006,-0.609478166626782,1.03692478551016,1.12418610286187,2.09376252228925,0.004336066,17,0.569613174939302
"768",1610,98,18,1,268.1266667,0.129333333,33.5443038,71.50044444,0.266666667,0.351111111,0.382222222,"DICHGE",0.143100844,30,1.75,-0.579830354520853,1.143100844,-0.00945166,0.999194298,-0.309505766,0.520408019064812,-0.804743948268789,0.173701817805962,0.249481678525058,0.144326324068852,0.199834588374089,0.229642135717818,-0.123808396956514,0.003729581,18,0.901132329572697
"774",1701,99,19,10,243.5777778,0.135333333,29.33884298,49.66148867,0.203883495,0.420711974,0.375404531,"DICHGE",0,24,4.34,1.44500349813754,1,2.906798452,2.010155382,-1.83321964,0.951847405346648,-1.01617241551876,-0.413647183471866,-0.20777398266151,0.542958109093675,0.138938448747557,0.799735679465996,-1.25577210863195,0.004105465,19,0.384179671492391
"937",1806,115,20,14,343.2571429,0.130333333,45.94202899,50.05833333,0.145833333,0.479166667,0.375,"DICHGE",0.074107972,28,2.84,0.49959882068829,1.074107972,1.39009002,1.187390175,2.716956957,0.593686982149817,-0.308329493331265,-0.400820891411689,-0.778527539753369,0.829732975509516,0.135290468904788,-1.23692913709897,-0.650703392654937,0.002913268,20,0.741297783184435
"1101",1913,133,21,2,294.4833333,0.124333333,26.53465347,58.12171053,0.197368421,0.375,0.427631579,"DICHGE",0.083381609,25,1.45,-0.999066176907097,1.083381609,-2.299231884,-2.977251388,-0.966215165,0.145300104972021,-1.17473545279818,-0.160143207520402,-0.263091786390485,0.28941827266483,0.579665679838555,-0.327032983740301,-0.577943797064625,0.003395778,21,0.47875125310924
"1163",2007,142,22,2,268.8,0.128333333,60,107.52,0.4,0.346666667,0.253333333,"DICHGE",0.223143551,15,2.8,0.467976185484365,1.223143551,-2.321524629,2.562487452,0.230021433,0.44656026144213,0.113035484026854,0.831149861041196,0.940115775958032,0.11624614621553,-1.19178504882909,0.214750542334041,0.449006253340199,0.003720238,22,-0.704669295977194
"1164",2007,142,22,3,266.5066667,0.129333333,27.54901961,81.06666667,0.30418251,0.441064639,0.254752852,"DICHGE",0.083381609,25,2.8,0.467976185484365,1.083381609,-2.321524629,2.562487452,0.230021433,0.520408019064812,-1.11552274776623,0.376054723319203,0.473686152076443,0.647094140289295,-1.17287899104909,0.265620814504068,-0.577943797064625,0.003752251,22,0.47875125310924
"1169",2008,143,23,11,265.68,0.115666667,36.79487179,29.35690608,0.110497238,0.464088398,0.425414365,"DICHGE",0.164303051,33,1.96,-0.327180097701695,1.164303051,-0.88686615,0.047207355,-1.069563996,-0.542121330142784,-0.658759418681429,-1.26081484213577,-1.25115249838622,0.759255065927504,0.562077042458146,0.284066622897338,0.0317365435160544,0.003763927,23,1.12193571152918
"1176",2101,144,24,10,210.9,0.118,118.75,112.48,0.533333333,0.266666667,0.2,"DICHGE",0.538996501,12,2.04,-0.237993868840865,1.538996501,0.722178784,0.798559472,-2.602596664,-0.35210638292059,1.19054215785187,0.903826089495347,1.43012846672513,-0.462074054112958,-1.99160620055461,1.65498029117551,2.39315384726974,0.004741584,24,-1.2216219540575
"1284",2115,158,25,11,250.075,0.132,21.44827586,31.06521739,0.124223602,0.48136646,0.394409938,"DICHGE",0.164303051,33,3.99,1.25755209428643,1.164303051,-0.708916317,-0.094902275,0.318594062,0.714578149960313,-1.51062146577396,-1.16966696099457,-1.05170701925997,0.839829314052003,0.306038041532087,0.643444777569078,0.0317365435160544,0.0039988,25,1.12193571152918
"1285",2115,158,25,12,236.1928571,0.131333333,18.93536122,18.96043578,0.080275229,0.619266055,0.300458716,"DICHGE",0.043485112,47,3.99,1.25755209428643,1.043485112,-0.708916317,-0.094902275,0.318594062,0.666405845773492,-1.70730553979218,-1.9653188346339,-1.79541122124226,1.39509705139457,-0.614545879050597,0.982522653075658,-0.895508081871261,0.004233828,25,1.94120724203432
"1294",2116,159,26,6,266.54,0.123666667,24.46927374,20.73088889,0.077777778,0.428888889,0.493333333,"DICHGE",0.065957968,47,2.61,0.311320963295786,1.065957968,0.149172569,1.252320805,3.850481383,0.0941494684941972,-1.30263507260379,-1.8214598793059,-1.84924500284387,0.585388948687392,1.06324565110236,0.26487868717987,-0.715167649896919,0.003751782,26,1.94120724203432
"1309",2203,162,27,3,352.1833333,0.113333333,93.63636364,114.2216216,0.324324324,0.297297297,0.378378378,"DICHGE",0.405465108,12,3.31,0.841011989764766,1.405465108,3.707396624,-0.516026384,0.597371674,-0.736008837541498,0.815521809143346,0.928587051047597,0.582896010634882,-0.222397339828619,0.165635949997023,-1.38934582311823,1.62497615239645,0.00283943,27,-1.2216219540575
"1326",2205,164,28,7,314.9166667,0.117,113.75,93.30864198,0.296296296,0.296296296,0.407407407,"DICHGE",0.223143551,10,1.92,-0.373147878878075,1.223143551,2.041962713,-0.560720337,0.45332958,-0.433077126820732,1.12264534059337,0.602697210672662,0.428943639250431,-0.2298316280669,0.415740766257149,-0.72532405088598,0.449006253340199,0.003175443,28,-1.64400303052096
"1370",2309,175,29,13,262,0.124666667,41.44736842,108.8307692,0.415384615,0.292307692,0.292307692,"DICHGE",0.133531393,32,1.32,-1.20847386870475,1.133531393,-0.737026583,2.41869472,-0.220079756,0.170772741366356,-0.470830833796726,0.850676742242251,1.00439937588541,-0.259705949179866,-0.707603509593589,0.366876379499564,-0.194959709547344,0.003816794,29,1.05064756249852
"1397",2312,178,30,7,270.5333333,0.133,30.43478261,67.63333333,0.25,0.479166667,0.270833333,"DICHGE",0.470003629,16,1.33,-1.19164844240707,1.470003629,-3.149285617,1.291405657,2.270923805,0.786382301974997,-0.958288072293245,0.0840981618497586,0.139552356852528,0.829732975509516,-0.965775849375994,0.176588818270315,2.00496383350196,0.003696402,30,-0.555154063051371
"1437",2317,183,31,12,274.645,0.1095,35.55555556,73.09942966,0.266159696,0.311787072,0.422053232,"DICHGE",0.064538521,32,2.27,0.000168541980501249,1.064538521,-1.033275638,2.692051996,-0.669383339,-1.0633741109095,-0.712837207221773,0.20934315776309,0.246240357326051,-0.11750112612078,0.535238378010269,0.0870346292183452,-0.72644545641143,0.003641064,31,1.05064756249852
